"","Year-Month","sentiment","n"
"1","2012_4","positive",360
"2","2012_4","negative",356
"3","2012_4","trust",241
"4","2012_4","fear",226
"5","2012_4","anger",170
"6","2012_4","anticipation",142
"7","2012_4","sadness",134
"8","2012_4","joy",89
"9","2012_4","disgust",86
"10","2012_4","surprise",72
"11","2012_4","Total",1876
"12","2012_6","positive",443
"13","2012_6","negative",376
"14","2012_6","trust",284
"15","2012_6","fear",226
"16","2012_6","anger",177
"17","2012_6","anticipation",163
"18","2012_6","sadness",157
"19","2012_6","disgust",103
"20","2012_6","joy",97
"21","2012_6","surprise",81
"22","2012_6","Total",2107
"23","2014_6","positive",386
"24","2014_6","negative",289
"25","2014_6","trust",236
"26","2014_6","fear",176
"27","2014_6","anticipation",142
"28","2014_6","anger",133
"29","2014_6","sadness",117
"30","2014_6","joy",98
"31","2014_6","surprise",76
"32","2014_6","disgust",74
"33","2014_6","Total",1727
"34","2014_7","positive",443
"35","2014_7","negative",341
"36","2014_7","trust",275
"37","2014_7","fear",187
"38","2014_7","anticipation",161
"39","2014_7","anger",154
"40","2014_7","sadness",128
"41","2014_7","joy",105
"42","2014_7","disgust",81
"43","2014_7","surprise",70
"44","2014_7","Total",1945
"45","2014_8","positive",334
"46","2014_8","negative",226
"47","2014_8","trust",203
"48","2014_8","fear",133
"49","2014_8","anticipation",118
"50","2014_8","anger",104
"51","2014_8","sadness",82
"52","2014_8","joy",81
"53","2014_8","surprise",61
"54","2014_8","disgust",57
"55","2014_8","Total",1399
"56","2014_9","positive",330
"57","2014_9","negative",201
"58","2014_9","trust",194
"59","2014_9","anticipation",123
"60","2014_9","fear",108
"61","2014_9","anger",92
"62","2014_9","joy",82
"63","2014_9","sadness",71
"64","2014_9","surprise",51
"65","2014_9","disgust",45
"66","2014_9","Total",1297
"67","2014_10","positive",402
"68","2014_10","negative",272
"69","2014_10","trust",247
"70","2014_10","fear",177
"71","2014_10","anticipation",147
"72","2014_10","anger",136
"73","2014_10","sadness",112
"74","2014_10","joy",102
"75","2014_10","disgust",75
"76","2014_10","surprise",63
"77","2014_10","Total",1733
"78","2014_11","positive",572
"79","2014_11","negative",480
"80","2014_11","trust",332
"81","2014_11","fear",242
"82","2014_11","anticipation",221
"83","2014_11","anger",209
"84","2014_11","sadness",183
"85","2014_11","joy",151
"86","2014_11","disgust",128
"87","2014_11","surprise",105
"88","2014_11","Total",2623
"89","2014_12","positive",491
"90","2014_12","negative",400
"91","2014_12","trust",290
"92","2014_12","fear",228
"93","2014_12","anger",193
"94","2014_12","anticipation",188
"95","2014_12","sadness",163
"96","2014_12","joy",130
"97","2014_12","disgust",100
"98","2014_12","surprise",82
"99","2014_12","Total",2265
"100","2015_1","positive",338
"101","2015_1","negative",232
"102","2015_1","trust",218
"103","2015_1","fear",139
"104","2015_1","anticipation",121
"105","2015_1","anger",99
"106","2015_1","sadness",84
"107","2015_1","joy",77
"108","2015_1","disgust",60
"109","2015_1","surprise",60
"110","2015_1","Total",1428
"111","2015_2","positive",217
"112","2015_2","negative",130
"113","2015_2","trust",129
"114","2015_2","anticipation",79
"115","2015_2","fear",72
"116","2015_2","anger",64
"117","2015_2","joy",50
"118","2015_2","sadness",40
"119","2015_2","surprise",31
"120","2015_2","disgust",29
"121","2015_2","Total",841
"122","2015_3","positive",283
"123","2015_3","negative",208
"124","2015_3","trust",179
"125","2015_3","fear",110
"126","2015_3","anticipation",102
"127","2015_3","anger",84
"128","2015_3","sadness",77
"129","2015_3","joy",72
"130","2015_3","disgust",46
"131","2015_3","surprise",45
"132","2015_3","Total",1206
"133","2015_4","positive",335
"134","2015_4","negative",240
"135","2015_4","trust",208
"136","2015_4","fear",129
"137","2015_4","anticipation",123
"138","2015_4","anger",110
"139","2015_4","sadness",86
"140","2015_4","joy",84
"141","2015_4","surprise",51
"142","2015_4","disgust",49
"143","2015_4","Total",1415
"144","2015_5","positive",333
"145","2015_5","negative",219
"146","2015_5","trust",208
"147","2015_5","fear",126
"148","2015_5","anticipation",118
"149","2015_5","anger",107
"150","2015_5","sadness",83
"151","2015_5","joy",78
"152","2015_5","surprise",52
"153","2015_5","disgust",43
"154","2015_5","Total",1367
"155","2015_6","positive",286
"156","2015_6","negative",220
"157","2015_6","trust",193
"158","2015_6","fear",132
"159","2015_6","anticipation",113
"160","2015_6","anger",111
"161","2015_6","sadness",90
"162","2015_6","joy",61
"163","2015_6","disgust",52
"164","2015_6","surprise",48
"165","2015_6","Total",1306
"166","2012_7","positive",354
"167","2012_7","negative",294
"168","2012_7","trust",219
"169","2012_7","fear",172
"170","2012_7","sadness",144
"171","2012_7","anger",140
"172","2012_7","anticipation",125
"173","2012_7","disgust",78
"174","2012_7","joy",76
"175","2012_7","surprise",55
"176","2012_7","Total",1657
"177","2015_7","positive",352
"178","2015_7","negative",236
"179","2015_7","trust",203
"180","2015_7","fear",139
"181","2015_7","anticipation",126
"182","2015_7","anger",117
"183","2015_7","sadness",96
"184","2015_7","joy",84
"185","2015_7","disgust",57
"186","2015_7","surprise",56
"187","2015_7","Total",1466
"188","2015_8","positive",231
"189","2015_8","negative",150
"190","2015_8","trust",137
"191","2015_8","fear",95
"192","2015_8","anger",76
"193","2015_8","anticipation",74
"194","2015_8","joy",53
"195","2015_8","sadness",53
"196","2015_8","surprise",34
"197","2015_8","disgust",33
"198","2015_8","Total",936
"199","2015_9","positive",413
"200","2015_9","negative",306
"201","2015_9","trust",258
"202","2015_9","fear",171
"203","2015_9","anticipation",158
"204","2015_9","anger",154
"205","2015_9","sadness",119
"206","2015_9","joy",110
"207","2015_9","disgust",75
"208","2015_9","surprise",72
"209","2015_9","Total",1836
"210","2015_10","positive",293
"211","2015_10","negative",205
"212","2015_10","trust",184
"213","2015_10","fear",128
"214","2015_10","anticipation",98
"215","2015_10","anger",85
"216","2015_10","sadness",69
"217","2015_10","joy",65
"218","2015_10","disgust",41
"219","2015_10","surprise",38
"220","2015_10","Total",1206
"221","2015_11","positive",180
"222","2015_11","trust",108
"223","2015_11","negative",105
"224","2015_11","fear",73
"225","2015_11","anger",55
"226","2015_11","anticipation",51
"227","2015_11","joy",41
"228","2015_11","sadness",41
"229","2015_11","disgust",27
"230","2015_11","surprise",22
"231","2015_11","Total",703
"232","2015_12","positive",171
"233","2015_12","negative",114
"234","2015_12","trust",110
"235","2015_12","anticipation",67
"236","2015_12","fear",67
"237","2015_12","anger",52
"238","2015_12","joy",40
"239","2015_12","sadness",36
"240","2015_12","disgust",28
"241","2015_12","surprise",24
"242","2015_12","Total",709
"243","2016_1","positive",379
"244","2016_1","negative",301
"245","2016_1","trust",227
"246","2016_1","fear",175
"247","2016_1","anger",131
"248","2016_1","anticipation",124
"249","2016_1","sadness",102
"250","2016_1","joy",90
"251","2016_1","disgust",74
"252","2016_1","surprise",71
"253","2016_1","Total",1674
"254","2016_2","positive",179
"255","2016_2","negative",140
"256","2016_2","trust",121
"257","2016_2","anticipation",73
"258","2016_2","fear",71
"259","2016_2","anger",64
"260","2016_2","sadness",48
"261","2016_2","joy",36
"262","2016_2","disgust",31
"263","2016_2","surprise",26
"264","2016_2","Total",789
"265","2016_3","positive",186
"266","2016_3","trust",126
"267","2016_3","negative",114
"268","2016_3","anticipation",73
"269","2016_3","fear",71
"270","2016_3","anger",56
"271","2016_3","joy",42
"272","2016_3","sadness",35
"273","2016_3","surprise",27
"274","2016_3","disgust",22
"275","2016_3","Total",752
"276","2016_4","positive",219
"277","2016_4","negative",159
"278","2016_4","trust",146
"279","2016_4","fear",97
"280","2016_4","anticipation",81
"281","2016_4","anger",74
"282","2016_4","sadness",56
"283","2016_4","joy",54
"284","2016_4","surprise",34
"285","2016_4","disgust",33
"286","2016_4","Total",953
"287","2016_5","positive",270
"288","2016_5","negative",188
"289","2016_5","trust",175
"290","2016_5","fear",107
"291","2016_5","anticipation",98
"292","2016_5","anger",90
"293","2016_5","sadness",73
"294","2016_5","joy",69
"295","2016_5","surprise",44
"296","2016_5","disgust",43
"297","2016_5","Total",1157
"298","2016_6","positive",191
"299","2016_6","negative",120
"300","2016_6","trust",120
"301","2016_6","anticipation",73
"302","2016_6","fear",68
"303","2016_6","anger",52
"304","2016_6","joy",42
"305","2016_6","sadness",39
"306","2016_6","surprise",33
"307","2016_6","disgust",27
"308","2016_6","Total",765
"309","2016_7","positive",218
"310","2016_7","negative",171
"311","2016_7","trust",149
"312","2016_7","fear",101
"313","2016_7","anticipation",90
"314","2016_7","anger",83
"315","2016_7","sadness",60
"316","2016_7","joy",49
"317","2016_7","surprise",42
"318","2016_7","disgust",37
"319","2016_7","Total",1000
"320","2016_8","positive",149
"321","2016_8","negative",115
"322","2016_8","trust",99
"323","2016_8","fear",70
"324","2016_8","anticipation",61
"325","2016_8","anger",51
"326","2016_8","sadness",42
"327","2016_8","joy",32
"328","2016_8","disgust",27
"329","2016_8","surprise",19
"330","2016_8","Total",665
"331","2016_9","positive",302
"332","2016_9","negative",246
"333","2016_9","trust",187
"334","2016_9","fear",131
"335","2016_9","anger",119
"336","2016_9","anticipation",115
"337","2016_9","sadness",97
"338","2016_9","joy",77
"339","2016_9","disgust",67
"340","2016_9","surprise",60
"341","2016_9","Total",1401
"342","2016_10","positive",192
"343","2016_10","negative",154
"344","2016_10","trust",128
"345","2016_10","fear",88
"346","2016_10","anger",72
"347","2016_10","anticipation",66
"348","2016_10","sadness",59
"349","2016_10","joy",45
"350","2016_10","disgust",41
"351","2016_10","surprise",25
"352","2016_10","Total",870
"353","2016_11","positive",326
"354","2016_11","negative",272
"355","2016_11","trust",217
"356","2016_11","fear",151
"357","2016_11","anticipation",132
"358","2016_11","anger",125
"359","2016_11","sadness",96
"360","2016_11","joy",92
"361","2016_11","surprise",74
"362","2016_11","disgust",62
"363","2016_11","Total",1547
"364","2016_12","positive",394
"365","2016_12","negative",316
"366","2016_12","trust",244
"367","2016_12","fear",167
"368","2016_12","anger",140
"369","2016_12","anticipation",138
"370","2016_12","sadness",111
"371","2016_12","joy",99
"372","2016_12","disgust",69
"373","2016_12","surprise",63
"374","2016_12","Total",1741
"375","2012_8","positive",400
"376","2012_8","negative",348
"377","2012_8","trust",252
"378","2012_8","fear",194
