"","Year.Month","combined_negative","combined_positive","BF_negative","BF_positive","EF_negative","EF_positive"
"1","2000_1",-94,124,-94,124,NA,NA
"2","2000_10",-70,115,-55,96,-17,33
"3","2000_11",-54,79,-48,73,-9,8
"4","2000_12",-26,16,NA,NA,-26,16
"5","2000_2",-169,219,-158,212,-41,48
"6","2000_3",-310,409,-209,288,-206,307
"7","2000_4",-308,369,-209,280,-186,228
"8","2000_5",-651,691,-236,355,-616,662
"9","2000_6",-105,171,-82,138,-32,46
"10","2000_7",-182,291,-164,266,-50,84
"11","2000_8",-56,93,-36,74,-21,35
"12","2000_9",-275,313,-134,168,-223,267
"13","2001_1",-28,61,-28,61,NA,NA
"14","2001_10",-336,441,-316,416,-44,70
"15","2001_11",-79,107,-59,75,-49,73
"16","2001_12",-50,88,-50,88,NA,NA
"17","2001_2",-140,179,-124,157,-24,39
"18","2001_3",-154,192,-142,179,-17,22
"19","2001_4",-858,807,-858,807,-54,55
"20","2001_5",-294,361,-294,361,-23,37
"21","2001_6",-218,286,-140,191,-108,176
"22","2001_7",-251,317,-231,301,-38,48
"23","2001_8",-117,177,-44,84,-84,123
"24","2001_9",-210,262,-185,223,-38,75
"25","2002_1",-187,234,-187,234,NA,NA
"26","2002_10",-249,393,-199,319,-89,181
"27","2002_11",-34,34,-17,15,-18,19
"28","2002_12",-108,154,-99,142,-11,18
"29","2002_2",-230,368,-218,359,-25,28
"30","2002_3",-87,124,-79,104,-9,29
"31","2002_4",-126,215,-118,205,-14,19
"32","2002_5",-81,122,-62,96,-25,34
"33","2002_6",-56,71,-56,71,NA,NA
"34","2002_7",-31,45,-31,45,NA,NA
"35","2002_8",-98,154,-98,154,-21,32
"36","2002_9",-120,146,-99,116,-40,73
"37","2003_1",-64,124,-64,124,NA,NA
"38","2003_10",-274,393,-172,299,-180,253
"39","2003_11",-287,355,-161,225,-265,326
"40","2003_12",-298,366,-232,291,-167,243
"41","2003_2",-179,217,-179,217,NA,NA
"42","2003_3",-137,181,-105,141,-43,72
"43","2003_4",-173,220,-173,220,NA,NA
"44","2003_5",-77,109,-67,98,-12,19
"45","2003_6",-99,125,-82,110,-22,22
"46","2003_7",-182,239,-135,182,-66,86
"47","2003_8",-224,281,-221,279,-5,6
"48","2003_9",-198,247,-118,140,-167,227
"49","2004_1",-110,159,-14,27,-99,145
"50","2004_10",-171,208,-126,145,-57,87
"51","2004_11",-223,304,-91,151,-157,219
"52","2004_12",-149,236,-21,46,-138,207
"53","2004_2",-104,146,-56,72,-61,95
"54","2004_3",-259,314,-148,208,-182,210
"55","2004_4",-193,309,-150,273,-91,143
"56","2004_5",-105,153,-88,127,-20,35
"57","2004_6",-136,201,-31,56,-114,164
"58","2004_7",-151,221,-82,146,-126,162
"59","2004_8",-127,159,-127,159,NA,NA
"60","2004_9",-153,232,-54,101,-111,161
"61","2005_1",-137,165,-46,55,-107,138
"62","2005_10",-223,313,-187,285,-97,153
"63","2005_11",-332,442,-271,372,-188,287
"64","2005_12",-90,164,-66,133,-48,74
"65","2005_2",-309,382,-292,370,-64,89
"66","2005_3",-388,442,-312,376,-183,236
"67","2005_4",-298,325,-133,188,-240,281
"68","2005_5",-428,455,-317,345,-290,318
"69","2005_6",-352,447,-206,303,-245,336
"70","2005_7",-513,529,-428,473,-254,283
"71","2005_8",-242,300,-192,249,-111,147
"72","2005_9",-288,368,-236,307,-93,151
"73","2006_1",-213,248,-192,224,-45,81
"74","2006_10",-234,324,-221,312,-87,113
"75","2006_11",-155,235,-137,203,-71,124
"76","2006_12",-275,378,-211,320,-194,287
"77","2006_2",-166,239,-72,119,-136,192
"78","2006_3",-282,341,-222,265,-205,268
"79","2006_4",-568,640,-525,602,-239,344
"80","2006_5",-219,306,-177,237,-93,141
"81","2006_6",-182,271,-157,252,-99,142
"82","2006_7",-201,266,-193,239,-49,83
"83","2006_8",-75,86,-75,86,NA,NA
"84","2006_9",-236,371,-130,265,-167,265
"85","2007_1",-151,216,-133,189,-26,39
"86","2007_10",-148,222,-136,213,-44,58
"87","2007_11",-197,272,-152,235,-64,92
"88","2007_12",-277,387,-125,224,-218,275
"89","2007_2",-218,315,-159,244,-108,176
"90","2007_3",-179,220,-132,162,-75,99
"91","2007_4",-238,313,-123,171,-204,267
