"","Year-Month","sentiment","n"
"1","2000_1","positive",124
"2","2000_1","negative",94
"3","2000_10","positive",115
"4","2000_10","negative",70
"5","2000_11","positive",79
"6","2000_11","negative",54
"7","2000_12","negative",26
"8","2000_12","positive",16
"9","2000_2","positive",219
"10","2000_2","negative",169
"11","2000_3","positive",409
"12","2000_3","negative",310
"13","2000_4","positive",369
"14","2000_4","negative",308
"15","2000_5","positive",691
"16","2000_5","negative",651
"17","2000_6","positive",171
"18","2000_6","negative",105
"19","2000_7","positive",291
"20","2000_7","negative",182
"21","2000_8","positive",93
"22","2000_8","negative",56
"23","2000_9","positive",313
"24","2000_9","negative",275
"25","2001_1","positive",61
"26","2001_1","negative",28
"27","2001_10","positive",441
"28","2001_10","negative",336
"29","2001_11","positive",107
"30","2001_11","negative",79
"31","2001_12","positive",88
"32","2001_12","negative",50
"33","2001_2","positive",179
"34","2001_2","negative",140
"35","2001_3","positive",192
"36","2001_3","negative",154
"37","2001_4","negative",858
"38","2001_4","positive",807
"39","2001_5","positive",361
"40","2001_5","negative",294
"41","2001_6","positive",286
"42","2001_6","negative",218
"43","2001_7","positive",317
"44","2001_7","negative",251
"45","2001_8","positive",177
"46","2001_8","negative",117
"47","2001_9","positive",262
"48","2001_9","negative",210
"49","2002_1","positive",234
"50","2002_1","negative",187
"51","2002_10","positive",393
"52","2002_10","negative",249
"53","2002_11","negative",34
"54","2002_11","positive",34
"55","2002_12","positive",154
"56","2002_12","negative",108
"57","2002_2","positive",368
"58","2002_2","negative",230
"59","2002_3","positive",124
"60","2002_3","negative",87
"61","2002_4","positive",215
"62","2002_4","negative",126
"63","2002_5","positive",122
"64","2002_5","negative",81
"65","2002_6","positive",71
"66","2002_6","negative",56
"67","2002_7","positive",45
"68","2002_7","negative",31
"69","2002_8","positive",154
"70","2002_8","negative",98
"71","2002_9","positive",146
"72","2002_9","negative",120
"73","2003_1","positive",124
"74","2003_1","negative",64
"75","2003_10","positive",393
"76","2003_10","negative",274
"77","2003_11","positive",355
"78","2003_11","negative",287
"79","2003_12","positive",366
"80","2003_12","negative",298
"81","2003_2","positive",217
"82","2003_2","negative",179
"83","2003_3","positive",181
"84","2003_3","negative",137
"85","2003_4","positive",220
"86","2003_4","negative",173
"87","2003_5","positive",109
"88","2003_5","negative",77
"89","2003_6","positive",125
"90","2003_6","negative",99
"91","2003_7","positive",239
"92","2003_7","negative",182
"93","2003_8","positive",281
"94","2003_8","negative",224
"95","2003_9","positive",247
"96","2003_9","negative",198
"97","2004_1","positive",159
"98","2004_1","negative",110
"99","2004_10","positive",208
"100","2004_10","negative",171
"101","2004_11","positive",304
"102","2004_11","negative",223
"103","2004_12","positive",236
"104","2004_12","negative",149
"105","2004_2","positive",146
"106","2004_2","negative",104
"107","2004_3","positive",314
"108","2004_3","negative",259
"109","2004_4","positive",309
"110","2004_4","negative",193
"111","2004_5","positive",153
"112","2004_5","negative",105
"113","2004_6","positive",201
"114","2004_6","negative",136
"115","2004_7","positive",221
"116","2004_7","negative",151
"117","2004_8","positive",159
"118","2004_8","negative",127
"119","2004_9","positive",232
"120","2004_9","negative",153
"121","2005_1","positive",165
"122","2005_1","negative",137
"123","2005_10","positive",313
"124","2005_10","negative",223
"125","2005_11","positive",442
"126","2005_11","negative",332
"127","2005_12","positive",164
"128","2005_12","negative",90
"129","2005_2","positive",382
"130","2005_2","negative",309
"131","2005_3","positive",442
"132","2005_3","negative",388
"133","2005_4","positive",325
"134","2005_4","negative",298
"135","2005_5","positive",455
"136","2005_5","negative",428
"137","2005_6","positive",447
"138","2005_6","negative",352
"139","2005_7","positive",529
"140","2005_7","negative",513
"141","2005_8","positive",300
"142","2005_8","negative",242
"143","2005_9","positive",368
"144","2005_9","negative",288
"145","2006_1","positive",248
"146","2006_1","negative",213
"147","2006_10","positive",324
"148","2006_10","negative",234
"149","2006_11","positive",235
"150","2006_11","negative",155
"151","2006_12","positive",378
"152","2006_12","negative",275
"153","2006_2","positive",239
"154","2006_2","negative",166
"155","2006_3","positive",341
"156","2006_3","negative",282
"157","2006_4","positive",640
"158","2006_4","negative",568
"159","2006_5","positive",306
"160","2006_5","negative",219
"161","2006_6","positive",271
"162","2006_6","negative",182
"163","2006_7","positive",266
"164","2006_7","negative",201
"165","2006_8","positive",86
"166","2006_8","negative",75
"167","2006_9","positive",371
"168","2006_9","negative",236
"169","2007_1","positive",216
"170","2007_1","negative",151
"171","2007_10","positive",222
"172","2007_10","negative",148
