"","Year-Month","sentiment","n"
"1","2012_4","positive",226
"2","2012_4","negative",129
"3","2012_5","positive",397
"4","2012_5","negative",292
"5","2010_12","positive",304
"6","2010_12","negative",197
"7","2010_11","positive",364
"8","2010_11","negative",262
"9","2010_10","positive",399
"10","2010_10","negative",376
"11","2010_9","positive",475
"12","2010_9","negative",350
"13","2010_8","positive",229
"14","2010_8","negative",144
"15","2010_7","positive",273
"16","2010_7","negative",163
"17","2010_6","positive",313
"18","2010_6","negative",216
"19","2010_5","positive",263
"20","2010_5","negative",153
"21","2010_4","positive",326
"22","2010_4","negative",226
"23","2010_2","positive",335
"24","2010_2","negative",268
"25","2010_1","positive",227
"26","2010_1","negative",141
"27","2010_3","positive",343
"28","2010_3","negative",274
"29","2012_6","positive",401
"30","2012_6","negative",268
"31","2012_7","positive",364
"32","2012_7","negative",243
"33","2012_8","positive",299
"34","2012_8","negative",204
"35","2012_9","positive",457
"36","2012_9","negative",340
"37","2012_10","positive",443
"38","2012_10","negative",355
"39","2012_11","positive",323
"40","2012_11","negative",212
"41","2012_12","positive",280
"42","2012_12","negative",170
"43","2013_1","positive",333
"44","2013_1","negative",256
"45","2013_2","positive",322
"46","2013_2","negative",242
"47","2013_3","positive",374
"48","2013_3","negative",234
"49","2013_4","positive",173
"50","2013_4","negative",107
"51","2013_5","positive",320
"52","2013_5","negative",212
"53","2013_6","positive",307
"54","2013_6","negative",191
"55","2013_7","positive",360
"56","2013_7","negative",269
"57","2013_8","positive",280
"58","2013_8","negative",209
"59","2013_9","positive",305
"60","2013_9","negative",198
"61","2013_10","positive",321
"62","2013_10","negative",197
"63","2013_11","positive",286
"64","2013_11","negative",187
"65","2013_12","positive",257
"66","2013_12","negative",162
"67","2014_1","positive",217
"68","2014_1","negative",146
"69","2014_2","positive",169
"70","2014_2","negative",120
"71","2014_3","positive",176
"72","2014_3","negative",116
"73","2014_4","positive",222
"74","2014_4","negative",175
"75","2014_5","positive",268
"76","2014_5","negative",198
"77","2014_6","positive",161
"78","2014_6","negative",106
"79","2014_7","positive",224
"80","2014_7","negative",132
"81","2014_8","positive",109
"82","2014_8","negative",81
"83","2014_9","positive",143
"84","2014_9","negative",140
"85","2014_10","positive",181
"86","2014_10","negative",114
"87","2014_11","positive",327
"88","2014_11","negative",179
"89","2014_12","positive",290
"90","2014_12","negative",200
"91","2015_1","positive",180
"92","2015_1","negative",116
"93","2015_2","positive",161
"94","2015_2","negative",105
"95","2015_3","positive",235
"96","2015_3","negative",160
"97","2015_4","positive",279
"98","2015_4","negative",212
"99","2015_5","positive",214
"100","2015_5","negative",158
"101","2015_6","positive",203
"102","2015_6","negative",142
"103","2015_7","positive",138
"104","2015_7","negative",85
"105","2015_8","positive",271
"106","2015_8","negative",226
"107","2015_9","positive",166
"108","2015_9","negative",110
"109","2015_10","positive",164
"110","2015_10","negative",135
"111","2015_11","positive",173
"112","2015_11","negative",107
"113","2015_12","positive",55
"114","2015_12","negative",37
"115","2016_1","positive",164
"116","2016_1","negative",135
"117","2016_2","positive",103
"118","2016_2","negative",77
"119","2016_3","positive",322
"120","2016_3","negative",282
"121","2016_4","positive",221
"122","2016_4","negative",171
"123","2016_5","positive",179
"124","2016_5","negative",122
"125","2016_6","positive",253
"126","2016_6","negative",171
"127","2016_7","positive",178
"128","2016_7","negative",129
"129","2016_8","positive",193
"130","2016_8","negative",126
"131","2016_9","positive",188
"132","2016_9","negative",158
"133","2016_10","positive",221
"134","2016_10","negative",188
"135","2016_11","positive",304
"136","2016_11","negative",254
"137","2016_12","positive",248
"138","2016_12","negative",171
"139","2017_1","positive",365
"140","2017_1","negative",274
"141","2017_2","positive",477
"142","2017_2","negative",378
"143","2017_3","positive",447
"144","2017_3","negative",295
"145","2017_4","positive",541
"146","2017_4","negative",456
"147","2017_5","positive",473
"148","2017_5","negative",335
"149","2017_6","positive",386
"150","2017_6","negative",288
"151","2017_7","positive",473
"152","2017_7","negative",395
"153","2017_8","positive",422
"154","2017_8","negative",357
"155","2017_9","positive",475
"156","2017_9","negative",403
"157","2017_10","positive",388
"158","2017_10","negative",311
"159","2017_11","positive",553
"160","2017_11","negative",442
"161","2017_12","positive",335
"162","2017_12","negative",217
"163","2018_1","positive",468
"164","2018_1","negative",415
"165","2018_2","positive",523
"166","2018_2","negative",419
"167","2018_3","negative",863
"168","2018_3","positive",822
"169","2018_4","negative",815
"170","2018_4","positive",780
"171","2018_5","positive",733
"172","2018_5","negative",728
"173","2018_6","negative",866
"174","2018_6","positive",788
"175","2018_7","positive",785
"176","2018_7","negative",774
"177","2018_8","positive",637
"178","2018_8","negative",627
"179","2018_9","positive",687
"180","2018_9","negative",654
"181","2018_10","positive",568
"182","2018_10","negative",530
"183","2018_11","positive",576
"184","2018_11","negative",571
"185","2018_12","negative",707
"186","2018_12","positive",701
"187","2019_1","positive",557
"188","2019_1","negative",520
"189","2019_2","positive",569
"190","2019_2","negative",562
"191","2019_3","positive",598
"192","2019_3","negative",524
"193","2019_4","positive",514
"194","2019_4","negative",440
"195","2019_5","negative",860
"196","2019_5","positive",846
"197","2019_6","negative",707
"198","2019_6","positive",696
"199","2019_7","positive",587
"200","2019_7","negative",519
"201","2019_8","negative",819
"202","2019_8","positive",813
"203","2019_9","positive",638
"204","2019_9","negative",593
"205","2019_10","positive",510
"206","2019_10","negative",494
"207","2019_11","positive",536
"208","2019_11","negative",462
"209","2019_12","positive",560
"210","2019_12","negative",487
