"","year","EF_custom_total","BF_custom_total","index"
"1",2000,5.91549295774648,-3.71929824561404,1.09809735606622
"2",2001,1.37037037037037,-16.8297872340426,-7.72970843183611
"3",2002,-1.55555555555556,-6.84313725490196,-4.19934640522876
"4",2003,-3.61016949152542,-11.0281690140845,-7.31916925280496
"5",2004,-5.14814814814815,-5.34782608695652,-5.24798711755233
"6",2005,-1.13924050632911,-6.36633663366337,-3.75278856999624
"7",2006,-2.66666666666667,-9.28888888888889,-5.97777777777778
"8",2007,-3.97183098591549,-2.98305084745763,-3.47744091668656
"9",2008,0.765957446808511,-2.55555555555556,-0.894799054373524
"10",2009,-7.4025974025974,-2.27380952380952,-4.83820346320346
"11",2010,-10.5495495495495,-11.9439252336449,-11.2467373915972
"12",2011,-1.37234042553191,-1.76136363636364,-1.56685203094777
"13",2012,-7.25438596491228,-8.11711711711712,-7.6857515410147
"14",2013,7.32110091743119,-22.6153846153846,-7.6471418489767
"15",2014,-2.86746987951807,-10.9396551724138,-6.90356252596594
"16",2015,2.9041095890411,-3.12941176470588,-0.11265108783239
"17",2016,-4.89583333333333,-8.1625,-6.52916666666667
"18",2017,-7.58778625954198,-20.90625,-14.247018129771
"19",2018,-77.2258064516129,-29.048275862069,-53.137041156841
"20",2019,-37.1148648648649,-23.0845070422535,-30.0996859535592
