index,word,sentiment,score
1,aback,anger,0
2,aback,anticipation,0
3,aback,disgust,0
4,aback,fear,0
5,aback,joy,0
6,aback,negative,0
7,aback,positive,0
8,aback,sadness,0
9,aback,surprise,0
10,aback,trust,0
11,abacus,anger,0
12,abacus,anticipation,0
13,abacus,disgust,0
14,abacus,fear,0
15,abacus,joy,0
16,abacus,negative,0
17,abacus,positive,0
18,abacus,sadness,0
19,abacus,surprise,0
20,abacus,trust,1
21,abandon,anger,0
22,abandon,anticipation,0
23,abandon,disgust,0
24,abandon,fear,1
25,abandon,joy,0
26,abandon,negative,1
27,abandon,positive,0
28,abandon,sadness,1
29,abandon,surprise,0
30,abandon,trust,0
31,abandoned,anger,1
32,abandoned,anticipation,0
33,abandoned,disgust,0
34,abandoned,fear,1
35,abandoned,joy,0
36,abandoned,negative,1
37,abandoned,positive,0
38,abandoned,sadness,1
39,abandoned,surprise,0
40,abandoned,trust,0
41,abandonment,anger,1
42,abandonment,anticipation,0
43,abandonment,disgust,0
44,abandonment,fear,1
45,abandonment,joy,0
46,abandonment,negative,1
47,abandonment,positive,0
48,abandonment,sadness,1
49,abandonment,surprise,1
50,abandonment,trust,0
51,abate,anger,0
52,abate,anticipation,0
53,abate,disgust,0
54,abate,fear,0
55,abate,joy,0
56,abate,negative,0
57,abate,positive,0
58,abate,sadness,0
59,abate,surprise,0
60,abate,trust,0
61,abatement,anger,0
62,abatement,anticipation,0
63,abatement,disgust,0
64,abatement,fear,0
65,abatement,joy,0
66,abatement,negative,0
67,abatement,positive,0
68,abatement,sadness,0
69,abatement,surprise,0
70,abatement,trust,0
71,abba,anger,0
72,abba,anticipation,0
73,abba,disgust,0
74,abba,fear,0
75,abba,joy,0
76,abba,negative,0
77,abba,positive,1
78,abba,sadness,0
79,abba,surprise,0
80,abba,trust,0
81,abbot,anger,0
82,abbot,anticipation,0
83,abbot,disgust,0
84,abbot,fear,0
85,abbot,joy,0
86,abbot,negative,0
87,abbot,positive,0
88,abbot,sadness,0
89,abbot,surprise,0
90,abbot,trust,1
91,abbreviate,anger,0
92,abbreviate,anticipation,0
93,abbreviate,disgust,0
94,abbreviate,fear,0
95,abbreviate,joy,0
96,abbreviate,negative,0
97,abbreviate,positive,0
98,abbreviate,sadness,0
99,abbreviate,surprise,0
100,abbreviate,trust,0
101,abbreviation,anger,0
102,abbreviation,anticipation,0
103,abbreviation,disgust,0
104,abbreviation,fear,0
105,abbreviation,joy,0
106,abbreviation,negative,0
107,abbreviation,positive,0
108,abbreviation,sadness,0
109,abbreviation,surprise,0
110,abbreviation,trust,0
111,abdomen,anger,0
112,abdomen,anticipation,0
113,abdomen,disgust,0
114,abdomen,fear,0
115,abdomen,joy,0
116,abdomen,negative,0
117,abdomen,positive,0
118,abdomen,sadness,0
119,abdomen,surprise,0
120,abdomen,trust,0
